episode,reward,crashed,length
1041,1.960209,1,3
1042,4.589437,1,6
1043,8.436561,1,10
1044,5.959013,1,7
1045,1.960209,1,3
1046,4.764108,1,6
1047,3.107012,1,5
1048,7.955321,1,9
1049,10.07648,1,11
1050,14.557199,1,16
1051,7.98574,1,9
1052,0.985098,1,2
1053,4.955055,1,6
1054,22.353059,0,30
1055,12.97246,1,16
1056,16.959012,1,18
1057,3.959047,1,5
1058,6.359344,1,8
1059,1.198555,1,2
1060,19.231955,1,22
1061,1.600037,1,3
1062,3.703522,1,6
1063,1.960209,1,3
1064,15.969645,1,18
1065,8.347586,1,12
1066,2.957377,1,4
1067,7.758313,1,9
1068,3.20231,1,5
1069,10.978541,1,16
1070,9.20727,1,11
1071,19.451979,1,21
1072,4.920482,1,6
1073,17.758468,1,19
1074,1.960209,1,3
1075,10.5576,1,12
1076,16.765214,1,20
1077,2.987592,1,4
1078,9.00471,1,11
1079,16.525454,1,19
1080,19.916184,1,28
1081,3.760353,1,5
1082,2.959217,1,4
1083,8.561286,1,10
1084,3.557625,1,5
1085,4.957177,1,6
1086,4.678578,1,6
1087,21.962846,0,30
1088,4.957172,1,6
1089,8.959012,1,10
1090,1.985166,1,3
1091,1.958373,1,3
1092,7.920462,1,9
1093,24.226147,0,30
1094,5.760155,1,7
1095,3.987594,1,5
1096,4.761147,1,6
1097,14.803364,1,17
1098,11.24483,1,13
1099,11.959012,1,13
1100,7.368234,1,9
1101,19.076489,1,20
1102,20.839181,1,24
1103,22.203233,0,30
1104,1.925144,1,3
1105,7.607199,1,10
1106,5.157803,1,7
1107,6.957162,1,8
1108,1.960209,1,3
1109,14.166277,1,16
1110,3.957198,1,5
1111,8.800068,1,11
1112,1.987743,1,3
1113,10.207664,1,13
1114,8.959012,1,10
1115,1.960209,1,3
1116,3.959047,1,5
1117,11.88907,1,14
1118,9.920578,1,11
1119,15.755958,1,18
1120,1.276554,1,2
1121,12.958785,1,15
1122,6.1694,1,8
1123,20.058316,1,24
1124,6.527505,1,8
1125,5.957164,1,7
1126,24.784875,0,30
1127,5.765738,1,8
1128,9.277087,1,11
1129,9.781601,1,12
1130,5.877237,1,7
1131,10.40501,1,13
1132,5.53988,1,9
1133,8.358336,1,10
1134,2.759115,1,4
1135,4.005682,1,6
1136,1.960209,1,3
1137,8.957162,1,10
1138,11.955312,1,13
1139,12.953474,1,14
1140,11.927176,1,15
1141,1.855531,1,3
1142,8.612598,1,11
1143,3.957198,1,5
1144,18.997007,1,21
1145,2.959217,1,4
1146,1.960209,1,3
1147,12.411335,1,16
1148,21.046888,1,22
1149,7.07425,1,8
1150,3.957206,1,5
1151,3.957206,1,5
1152,9.758308,1,11
1153,8.929552,1,12
1154,5.052263,1,6
1155,14.360572,1,16
1156,5.55909,1,7
1157,1.198555,1,2
1158,7.407984,1,9
1159,5.757924,1,7
1160,1.649809,1,3
1161,3.12055,1,4
1162,6.123406,1,7
1163,14.645214,1,18
1164,7.402241,1,9
1165,5.003441,1,7
1166,9.003456,1,11
1167,5.723446,1,7
1168,8.756449,1,10
1169,7.446509,1,10
1170,5.955059,1,7
1171,15.266383,1,21
1172,4.957172,1,6
1173,5.664133,1,8
1174,11.362426,1,13
1175,8.7583,1,10
1176,1.795329,1,3
1177,6.385343,1,8
1178,10.063804,1,15
1179,14.052263,1,15
1180,2.759115,1,4
1181,3.25093,1,5
1182,8.957162,1,10
1183,1.960209,1,3
1184,0.985098,1,2
1185,6.955058,1,8
1186,1.960209,1,3
1187,19.621467,1,25
1188,22.090612,0,30
1189,6.20916,1,8
1190,11.83539,1,17
1191,2.403409,1,4
1192,2.054161,1,3
1193,22.387825,1,30
1194,2.959217,1,4
1195,4.758343,1,6
1196,1.764923,1,3
1197,3.959047,1,5
1198,15.254856,1,17
1199,12.177775,1,15
1200,12.763981,1,15
1201,8.525658,1,10
1202,4.959018,1,6
1203,9.656393,1,11
1204,1.960209,1,3
1205,9.903811,1,13
1206,5.718549,1,7
1207,21.72381,0,30
1208,17.929586,1,21
1209,6.054113,1,7
1210,15.351058,1,22
