#{"t_start": 1776087011.1915166, "env_id": "highway-v0"}
r,l,t
5.763192,8,2542.414746
21.75117,30,2552.765186
1.278391,2,2553.480265
18.516876,22,2560.975067
8.559467,10,2564.461811
6.693074,9,2567.602136
2.566054,4,2569.025482
1.960209,3,2570.089189
8.758298,10,2573.553405
16.207269,18,2579.839901
4.760184,6,2581.924665
7.483543,10,2585.448627
13.970346,19,2591.900924
13.918551,16,2597.396063
14.283096,19,2603.963439
6.2052,8,2606.781474
6.363584,8,2609.558408
1.960209,3,2610.609118
13.277776,19,2617.095122
6.25579,9,2620.175976
9.652306,11,2623.974283
5.955058,7,2626.384237
10.138741,14,2631.248429
4.090909,7,2633.704438
4.957177,6,2635.812871
16.359955,19,2642.335803
4.959018,6,2644.445762
9.048738,10,2647.886659
0.854167,2,2648.585536
6.256782,9,2651.682081
7.55905,9,2654.791658
9.756069,11,2658.523911
19.171309,26,2667.552813
4.760184,6,2669.598006
2.959217,4,2671.001992
3.794167,5,2672.788923
10.551675,12,2677.023512
2.759509,4,2678.420439
1.124008,2,2679.129051
20.8128,25,2687.753165
3.957206,5,2689.460909
1.960209,3,2690.509561
1.124008,2,2691.232434
18.955757,21,2698.639302
13.918409,15,2703.862242
26.332078,30,2714.173579
7.010291,9,2717.3157
14.557317,16,2722.848885
16.006326,21,2730.185194
1.960209,3,2731.231967
1.960209,3,2732.267437
24.925314,29,2742.426252
9.442852,12,2746.554354
1.855531,3,2747.604682
3.275383,4,2749.011542
13.687221,17,2754.822634
16.22592,23,2762.671176
12.949752,15,2767.827563
1.795329,3,2768.88855
9.98228,11,2772.670798
4.048141,5,2774.388726
21.21635,27,2783.783548
5.959013,7,2786.223665
13.371709,17,2792.171687
7.971697,10,2795.604898
19.56117,22,2803.19076
5.21198,8,2805.992904
5.758473,7,2808.398534
2.04788,3,2809.44102
7.856616,9,2812.593163
4.959018,6,2814.669316
9.288569,12,2818.784975
1.960209,3,2819.840319
7.720396,10,2823.25633
9.716182,12,2827.424586
8.957162,10,2830.883388
8.352051,10,2834.311724
11.923591,15,2839.509506
13.760871,16,2845.021726
1.600037,3,2846.071629
5.955584,7,2848.491008
2.719346,4,2849.890657
7.286625,10,2853.387574
15.15484,17,2859.297871
7.398991,9,2862.405789
4.985181,6,2864.483477
23.759115,26,2873.429151
4.995011,7,2875.852362
2.164773,4,2877.2558
6.807162,9,2880.434688
9.1237,12,2884.63002
4.055356,6,2886.718272
20.949636,26,2895.669799
16.153849,18,2901.973922
8.360222,10,2905.450029
11.206671,13,2910.00309
0.985098,2,2910.706436
12.953449,14,2915.571096
2.398546,4,2916.98875
1.600037,3,2918.021357
1.764923,3,2919.065019
15.607857,18,2925.347286
4.788703,6,2927.476078
1.085335,2,2928.190012
2.599059,4,2929.594448
14.478067,17,2935.501981
20.857024,30,2945.999848
7.164999,10,2949.410613
6.146648,9,2952.578707
9.952931,11,2956.339608
13.953976,15,2961.507353
7.289798,10,2964.941551
10.748153,12,2969.072981
17.357143,19,2975.644263
24.761774,28,2985.267323
4.959018,6,2987.3393
1.600054,3,2988.396741
11.557586,13,2992.884825
20.468116,27,3002.314047
21.371819,25,3010.885365
7.758307,9,3013.968729
5.395939,7,3016.430364
10.195798,11,3020.200317
2.935514,5,3021.93046
1.363636,3,3022.982811
7.204954,10,3026.416365
9.193633,11,3030.218105
1.958373,3,3031.265591
3.957201,5,3033.044801
3.760353,5,3034.810501
1.276554,2,3035.53079
1.960209,3,3036.574215
3.758123,5,3038.307207
3.964917,6,3040.400607
6.811472,10,3043.880014
2.761346,4,3045.268868
4.368433,6,3047.352167
16.648994,21,3054.785268
2.39591,4,3056.201707
3.765991,5,3057.978551
7.504776,10,3061.464353
11.591188,13,3065.942434
0.966017,2,3066.669057
25.495207,30,3077.020905
13.764826,16,3082.673445
0.966017,2,3083.378234
6.754235,8,3086.171215
6.967224,9,3089.323273
3.36719,5,3091.065495
4.403211,6,3093.138358
12.559464,14,3097.931467
10.062368,14,3102.803206
11.76175,14,3107.862181
11.917408,13,3112.388268
5.56132,7,3114.784428
9.267958,12,3118.94411
14.163022,16,3124.418931
11.963509,14,3129.370202
9.883929,13,3133.984872
5.792283,7,3136.403173
3.19827,5,3138.116561
9.683572,12,3142.310917
13.556967,19,3148.80165
10.446445,13,3153.286553
16.453914,19,3159.83614
2.39591,4,3161.219498
1.597429,3,3162.286288
9.258951,12,3166.398029
26.461738,30,3176.755879
10.587636,12,3180.979196
28.404021,30,3191.476083
6.757919,8,3194.258992
6.455288,8,3197.022248
20.895599,30,3207.434913
5.957163,7,3209.894497
7.807347,10,3213.319079
6.756459,8,3216.130304
6.908133,9,3219.250906
16.622208,21,3226.526521
14.559435,16,3232.135012
16.953449,18,3238.337276
13.844669,17,3244.222781
9.703045,12,3248.376977
19.951094,22,3256.087905
1.198555,2,3256.806533
1.960209,3,3257.861667
5.593445,7,3260.275973
4.361383,6,3262.358801
13.361738,15,3267.602562
15.360741,17,3273.548977
1.960209,3,3274.583764
6.214934,8,3277.340119
5.85302,7,3279.778392
2.599059,4,3281.144258
18.374495,22,3288.763063
2.959217,4,3290.16531
10.358372,12,3294.386765
13.163558,15,3299.596492
3.957201,5,3301.368084
8.561314,10,3304.825115
6.124382,9,3307.872052
5.277262,7,3310.301938
14.311706,16,3315.83009
18.779068,22,3323.493193
3.957198,5,3325.231698
1.124008,2,3325.956427
8.04991,11,3329.706146
1.958373,3,3330.764398
10.909198,16,3336.238472
5.778499,9,3339.393337
17.567092,19,3345.926179
5.955334,7,3348.39202
4.985756,6,3350.473212
17.56044,19,3357.194921
1.960209,3,3358.258767
1.960209,3,3359.332192
9.361382,11,3363.101093
3.050596,4,3364.479617
10.87577,12,3368.679132
3.593243,5,3370.374264
6.195803,7,3372.84165
19.555458,21,3380.155257
3.792321,5,3381.886254
6.524687,8,3384.704031
5.957172,7,3387.147831
15.807349,20,3394.0673
4.553193,6,3396.121204
13.646683,16,3401.862549
5.756447,7,3404.3043
1.278391,2,3405.025135
2.399343,4,3406.415418
3.800076,5,3408.191114
6.362456,8,3411.006738
5.971698,8,3413.77509
8.654541,10,3417.253061
9.362455,11,3421.083473
23.280129,30,3431.581402
9.561425,11,3435.410979
16.773607,22,3443.060257
6.248837,9,3446.122606
9.072796,10,3449.67116
10.3674,12,3453.762695
5.760155,7,3456.164347
3.959047,5,3457.912727
20.555366,22,3465.451671
5.963519,8,3468.204725
15.78684,17,3474.042388
6.084138,7,3476.426788
7.388753,9,3479.548584
4.959018,6,3481.647778
5.563034,7,3484.084552
22.592177,30,3494.385263
3.957198,5,3496.120811
8.155429,10,3499.5669
3.275383,4,3500.979877
9.923187,11,3504.818547
9.822019,13,3509.31569
1.960209,3,3510.361318
10.476817,14,3515.272781
4.392541,6,3517.379315
6.721602,8,3520.131978
10.756742,12,3524.405198
11.192591,13,3528.935141
5.438411,7,3531.375278
4.926283,7,3533.816968
5.788703,7,3536.279752
3.057051,5,3538.017141
11.97159,15,3543.211239
13.964864,16,3548.659393
3.957201,5,3550.400154
2.566059,4,3551.803606
2.277399,3,3552.856081
7.98759,9,3555.983634
7.269564,8,3558.783088
3.200465,5,3560.578222
5.61829,8,3563.379
1.958373,3,3564.422525
7.959012,9,3567.544517
11.561286,13,3572.013836
6.40799,8,3574.836524
4.756113,6,3576.964411
0.966017,2,3577.680826
4.587635,6,3579.78204
3.959047,5,3581.483625
9.245491,11,3585.291519
7.044455,8,3588.057661
6.957171,8,3590.823788
12.955058,14,3595.672532
6.792282,8,3598.427437
22.920971,26,3607.48753
1.600037,3,3608.548658
8.758298,10,3612.010711
14.557573,16,3617.499616
6.759292,8,3620.369515
7.538643,10,3623.855992
1.958373,3,3624.921508
4.959018,6,3626.970448
11.389249,14,3631.791914
11.180734,15,3637.055749
28.629627,30,3647.467345
3.565067,5,3649.222834
5.955306,7,3651.670489
11.10625,15,3656.948848
2.399329,4,3658.340164
14.818073,18,3833.199727
8.559445,10,3836.685114
20.852613,29,3846.670572
